"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"86","MTS_10149","10149","10149","Mira Mesa Bl & Westonhill Dr","32.91274479","-117.13577359","MTS","1.0","N-E/B","","","32.91274000083436","-117.13576167811003"
"87","MTS_10150","10150","10150","El Cajon Bl & Utah St","32.75517721","-117.13283955","MTS","1.0","N-E/B","","","32.75517244520866","-117.13282765316741"
"88","MTS_10151","10151","10151","University Av & Utah St","32.74836023","-117.13293387","MTS","1.0","N-E/B","","","32.748355466320085","-117.1329219686981"
"89","MTS_10154","10154","10154","National Av & 29th St","32.69585228","-117.13222923","MTS","1.0","N-E/B","","","32.69584751913655","-117.13221733122131"
"90","MTS_10156","10156","10156","Balboa Av & Ponderosa Av","32.82211287","-117.13190601","MTS","1.0","F-E/B","balpon","","32.82210809641756","-117.13189410534183"
"91","MTS_10157","10157","10157","Aero Dr & Corporate Ct","32.80974365","-117.13203598","MTS","1.0","N-E/B","","","32.809738870469324","-117.13202407852421"
"92","MTS_10158","10158","10158","Market St & 30th St","32.71156459","-117.13043259","MTS","1.0","N-E/B","mark30","","32.71155982576043","-117.13042069868743"
"93","MTS_10159","10159","10159","Clairemont Mesa Bl & Overland Av","32.83126451","-117.13126195","MTS","1.0","N-E/B","claove","","32.83125973698001","-117.13125005149463"
"94","MTS_10160","10160","10160","Adams Av & 30th St","32.76282743","-117.13037565","MTS","1.0","N-E/B","30ada","","32.762822660192725","-117.13036375681574"
"95","MTS_10161","10161","10161","University Av & 30th St","32.7483355","-117.13024061","MTS","1.0","N-E/B","uni30t","","32.748330734195044","-117.13022871356858"
"96","MTS_10162","10162","10162","Upas St & 30th St","32.74102988","-117.12948143","MTS","1.0","N-E/B","","","32.74102511593485","-117.12946952994639"
"97","MTS_10163","10163","10163","Ocean View Bl & 30th St","32.70111472","-117.12966834","MTS","1.0","N-E/B","","","32.701109963147445","-117.12965644572382"
"98","MTS_10164","10164","10164","Imperial Av & 30th St","32.70634271","-117.12962298","MTS","1.0","N-E/B","","","32.70633794468364","-117.12961108934807"
