,post_id,num_beds,num_baths,price,sqft,houseType,rentPeriod,parking,laundry,pets,smoking,air conditioning,wheelchair accessible,EV charging,furnished,lat,lon,tfidf_words
661,7455968001,1,1,2295.0,700,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.744013,-117.252103,"['elanthepalms', '295', 'su', '3l84h5', 'v965v']"
662,7455968206,2,1.5,2495.0,-1,apartment,,off-street parking,w/d in unit,,no smoking,,,,,32.768975,-117.190592,"['prop', 'cal', 'paid', '5725', 'monthsdeposit']"
663,7455968273,1,1,2345.0,700,apartment,,off-street parking,laundry on site,cats are OK - purrr,no smoking,,,,,32.743403,-117.252327,"['elan', 'pier', 'park', 'beach', 'round']"
664,7455970337,1,1,2013.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,,,,,,32.78219290250441,-117.16909573120324,"['max', '00', 'lb', 'each', 'allowed']"
665,7455976505,1,1,2495.0,-1,apartment,rent period: yearly,street parking,laundry in bldg,cats are OK - purrr,no smoking,,,,,32.749794,-117.236104,"['citra', 'per', 'elevatorpoollaundry', 'yjhio6qq', 'fancarpetquartz']"
666,7455977023,2,2,3415.0,-1,apartment,,no parking,w/d in unit,cats are OK - purrr,,,,,,32.918793240690206,-117.22726916150764,"['hills', 'torrey', 'carefree', 'managed', 'torreyhills']"
667,7455977412,2,1,2395.0,-1,apartment,,street parking,laundry in bldg,,,,,,,,,"['16', '921092', '102883contact', 'opportunityaf93cfa652c44c7', 'laundry1918']"
668,7455980980,1,1,2890.0,-1,apartment,,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,34.0443741,-117.3200378,"['society', 'dec', 'features', 'closet', 'managed']"
669,7455982349,1,1,2900.0,-1,apartment,,carport,w/d in unit,,,,,,,32.86082404115404,-117.22933712338651,"['per', 'blue', 'heatdishwashercommunity', 'qnrzszjt', 'garage24']"
670,7455988123,1,1,2961.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,,,46.3144754,11.0480288,"['lounge', 'bar', 'hilltop', 'moroccan', 'winding']"
671,7455989794,1,1,2600.0,650,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['l42aynny', 'luxe', 'flexible', 'pointe', 'spaphoto']"
672,7455990143,1,1,2295.0,-1,apartment,,off-street parking,laundry on site,,,,,,,,,"['condo', 'hoa', 'campus', 'email', 'fees']"
673,7455991771,1,1,3000.0,-1,apartment,,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,EV charging,,32.95863740703518,-117.19243461306532,"['carmel', 'avino', 'rd', 'sr', 'highlands']"
674,7455996184,1,1,2468.0,650,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['6yr552by', 'patioworry', 'dishwasherprivate', 'countertopsonsite', 'lightingdouble']"
675,7455996343,1,1,3005.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,,,,,,,,"['2or', 'euro', 'text', 'base', 'complimentary']"
676,7455999732,1,1,2606.0,650,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['moving', '4v7hpqi2', 'patiocommunity', 'pointe', 'announcementscall']"
677,7456001391,1,1,2468.0,650,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['moving', 'wbvmxqqo', 'luxe', 'pointe', 'announcements']"
678,7456002813,2,1,2926.0,850,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['bpnqny7m', 'facilitiesin', 'powermove', 'lightingpet', 'feeterrace']"
679,7456004597,2,2,3825.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,,,46.3144754,11.0480288,"['lounge', 'bar', 'moroccan', 'hilltop', 'winding']"
680,7456005182,2,1,3051.0,850,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,32.754554139426034,-117.21922985516292,"['moving', 'xudj67oq', 'pointe', 'closetscommunity', 'outdoor']"
681,7456007145,2,2.5,3290.0,-1,house,,attached garage,w/d in unit,,,,,,,46.3144754,11.0480288,"['tennis', '699', 'esf', 'greeted', 'embrace']"
682,7456007895,1,1,2282.0,-1,apartment,rent period: yearly,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,air conditioning,,,,,,"['nimitz', 'pointe', 'xu4hs7', 'vx4k5t5w', 'assigned']"
683,7456009333,1,1,2520.0,-1,,,,,,,,,,,,,"['nobel', 'dr', 'take', 'right', 'court']"
684,7456013528,1,1,1952.0,-1,apartment,rent period: yearly,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,air conditioning,,,,,,"['nimitz', 'pointe', '044rm7', '9swdbfmogi', '5or']"
685,7456023921,4,3,6000.0,-1,house,rent period: yearly,attached garage,w/d in unit,,no smoking,air conditioning,wheelchair accessible,,,,,"['pt', 'cated', 'finished', 'bonus', 'agent']"
686,7456034982,1,1,2799.0,-1,apartment,,carport,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,46.3144754,11.0480288,"['luxe', 'vive', 'lifestyle', 'destination', '00pm']"
687,7456036047,2,2,3475.0,-1,apartment,,carport,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,46.3144754,11.0480288,"['luxe', 'vive', 'lifestyle', 'destination', '00pm']"
688,7456038181,3,2.5,4890.0,-1,apartment,rent period: yearly,detached garage,w/d in unit,,,,,,,32.79855,-117.238884,"['prop', 'cal', 'beach', 'surfing', 'downstairs']"
689,7456038458,1,1,2874.0,-1,apartment,,carport,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,46.3144754,11.0480288,"['luxe', 'vive', 'lifestyle', 'destination', '00pm']"
690,7456038626,5,3,5195.0,-1,house,rent period: yearly,attached garage,w/d hookups,cats are OK - purrr,no smoking,air conditioning,,,,32.799146,-117.143147,"['grass', 'newer', 'backyard', 'brick', 'tiled']"
691,7456041411,3,2,3595.0,-1,apartment,,detached garage,w/d in unit,,,,,,,43.7868864,-80.022581,"['bush', '1011', '1015', 'exterior', 'apt']"
692,7456046935,2,2,3195.0,-1,apartment,,street parking,laundry in bldg,cats are OK - purrr,no smoking,,,,,32.749794,-117.236104,"['citra', 'per', 'gk2gvuqp', 'facilitiespoolelevatorwalking', 'flooringcarpetcommunity']"
693,7456048948,1,1,2740.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'roomcourtyardcall', 'lhjifrxk']"
694,7456067857,2,2,3200.0,1174,apartment,,attached garage,w/d in unit,,,,,,,46.3144754,11.0480288,"['fashion', 'valley', 'sustainable', 'residents', 'amc']"
695,7456069407,2,2.5,3695.0,1347,apartment,,attached garage,w/d in unit,,,,,,,46.3144754,11.0480288,"['fashion', 'valley', 'sustainable', 'residents', 'amc']"
696,7456070198,2,2,3600.0,-1,apartment,,off-street parking,w/d in unit,,,,,,,,,"['driftwood', 'crown', '92119more', '6z0509', 'nmwf7qe1z']"
697,7456071239,3,2.5,4700.0,-1,house,rent period: yearly,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,,,,,"['owner', 'built', 'single', 'attached', '22']"
698,7456075351,2,2,3500.0,-1,apartment,,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,EV charging,,32.95863740703518,-117.19243461306532,"['carmel', 'avino', 'rd', 'sr', 'highlands']"
699,7456075953,1,1,2739.0,-1,apartment,,detached garage,w/d in unit,,,,,,,32.764583,-117.196047,"['balcony', 'arrive', 'accepts', 'payments', 'gl2vk565']"
700,7456077503,1,1,2900.0,-1,apartment,,carport,w/d in unit,,,,,,,32.86082404115404,-117.22933712338651,"['per', 'blue', 'heatceiling', 'storagein', 'balconydishwashercentral']"
701,7456077573,2,2,2950.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'communitycourtyardgarage', 'fl4hjj6g']"
702,7456084093,1,1,2575.0,-1,,,,,,,,,,,,,"['nobel', 'dr', 'take', 'right', 'court']"
703,7456086807,0,1,2540.0,-1,apartment,rent period: daily,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,air conditioning,,,,44.539031,-63.6580745,"['pointe', 'bay', 'aerobics', 'jacuzzis', 'apartments']"
704,7456097126,5,3,5700.0,-1,apartment,rent period: yearly,attached garage,w/d in unit,,no smoking,,,,,46.3144754,11.0480288,"['included', 'stanley', 'metallic', 'pebble', 'project']"
705,7456097502,0,1,2528.0,620,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['entryrefrigerator', 'gismzwa4', 'ceilingsin', 'courthalf', '000']"
706,7456101671,1,1,2824.0,620,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['7v4rjwe5', 'billsopen', 'kitchenclub', 'tablebusiness', 'loungeenergy']"
707,7456105132,2,2,3255.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', '3uhr4ypu', 'trainersmoke']"
708,7456108361,2,2,4000.0,-1,condo,rent period: yearly,attached garage,laundry in bldg,cats are OK - purrr,,,wheelchair accessible,,,,,"['basic', 'anoramic', 'ocean', 'br', 'underground']"
709,7456108591,1,1,2827.0,-1,apartment,,carport,w/d in unit,,,,,,,32.77490895,-117.14184597426755,"['rio', 'vista', 'promenade', 'hr', 'online']"
710,7456108933,1,1,2095.0,450,apartment,,off-street parking,laundry on site,,,,,,,,,"['dot', 'application', 'faqs', 'inn', 'bayinnapts']"
711,7456114324,1,1,2269.0,-1,apartment,rent period: yearly,street parking,laundry in bldg,cats are OK - purrr,no smoking,air conditioning,,,,46.3144754,11.0480288,"['nimitz', 'pointe', '05vk56', 'z6jbqeog', 'assigned']"
712,7456118323,3,2.5,3540.0,-1,townhouse,,attached garage,w/d in unit,,,,,,,46.3144754,11.0480288,"['jolla', 'la', 'new', 'peet', 'epoxy']"
713,7456118690,1,1,2269.0,-1,apartment,,off-street parking,laundry in bldg,cats are OK - purrr,no smoking,air conditioning,,,,,,"['nimitz', 'pointe', 'nwm6aenw', '38lyq8', 'rate']"
714,7456125696,2,2,2760.0,-1,apartment,,carport,w/d in unit,cats are OK - purrr,,,,,,34.1805795,-116.2293965,"['esprit', 'villas', 'vwc817', 'hqnl9dukhr', 'cable']"
715,7456126677,1,1,2013.0,-1,apartment,,off-street parking,laundry on site,cats are OK - purrr,,,,,,32.78219290250441,-117.16909573120324,"['applianc', 'seats', 'wanting', 'enjoyment', 'maintained']"
