zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,scrape_date,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate
52513901,52513901,,https://photos.zillowstatic.com/fp/47a482f49721788dd213b8789a68b8f2-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/7940-La-Jolla-Shores-Dr-La-Jolla-CA-92037/52513901_zpid/,"{'latitude': 32.851246, 'longitude': -117.25471}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"7940 La Jolla Shores Dr, La Jolla, CA 92037",7940 La Jolla Shores Dr,CA,La Jolla,92037,5492qyc6uufve,,False,True,False,True,False,2022-07-31,$,"$9,800/mo",9800.0,False,5.0,4.0,2685.0,False,"{'homeInfo': {'zpid': 52513901, 'streetAddress': '7940 La Jolla Shores Dr', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.851246, 'longitude': -117.25471, 'price': 9800.0, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 2685.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 3314500, 'rentZestimate': 9816, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 9800.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 1517164.0, 'lotAreaValue': 7235.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,3314500.0,False,False,False,False,2022-09-01 00:00:00
16835178,16835178,,https://photos.zillowstatic.com/fp/9510dc3d8ef6445d09971a9a036d7e74-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/8931-Caminito-Fresco-La-Jolla-CA-92037/16835178_zpid/,"{'latitude': 32.86966, 'longitude': -117.23882}",,"{'type': 'TIME_ON_INFO', 'text': '7 days ago', 'data': {'isFresh': False}}",,,,"8931 Caminito Fresco, La Jolla, CA 92037",8931 Caminito Fresco,CA,La Jolla,92037,29b0wyhuasrp2,,False,True,False,True,False,2022-07-31,$,"$6,995/mo",6995.0,False,4.0,3.0,1668.0,False,"{'homeInfo': {'zpid': 16835178, 'streetAddress': '8931 Caminito Fresco', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.86966, 'longitude': -117.23882, 'price': 6995.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1668.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1163800, 'rentZestimate': 4709, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 6995.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 337582.0, 'lotAreaValue': 2251.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,1163800.0,False,False,False,False,2022-07-23 00:00:00
2110007366,2110007366,,https://photos.zillowstatic.com/fp/d839169592dbb247449291b69a33f2b2-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/635-Nautilus-St-La-Jolla-CA-92037/2110007366_zpid/,"{'latitude': 32.83193, 'longitude': -117.27467}",,"{'type': 'TIME_ON_INFO', 'text': '5 days ago', 'data': {'isFresh': False}}",,,,"635 Nautilus St, La Jolla, CA 92037",635 Nautilus St,CA,La Jolla,92037,4118c8nm22aab,,False,True,False,True,False,2022-07-31,$,"$6,995/mo",6995.0,False,3.0,2.5,1614.0,False,"{'homeInfo': {'zpid': 2110007366, 'streetAddress': '635 Nautilus St', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.83193, 'longitude': -117.27467, 'price': 6995.0, 'datePriceChanged': 1658818800000, 'bathrooms': 2.5, 'bedrooms': 3.0, 'livingArea': 1614.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1592800, 'rentZestimate': 7770, 'listing_sub_type': {}, 'priceReduction': '$705 (Jul 26)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 6995.0, 'priceChange': -705, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,1592800.0,False,False,False,False,2022-07-25 00:00:00
2062403353,2062403353,,https://photos.zillowstatic.com/fp/72c366cc2bb9b10af19bac397fb78617-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/La-Jolla-CA-92037/2062403353_zpid/,{},,"{'type': 'TIME_ON_INFO', 'text': '18 days ago', 'data': {'isFresh': False}}",,,,"(undisclosed Address), La Jolla, CA 92037",(undisclosed Address),CA,La Jolla,92037,4dw671wgrqnef,,False,False,False,True,False,2022-07-31,$,"$6,995/mo",6995.0,True,4.0,2.0,2634.0,False,"{'homeInfo': {'zpid': 2062403353, 'streetAddress': '(undisclosed Address)', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'price': 6995.0, 'datePriceChanged': 1657782000000, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 2634.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'priceReduction': '$505 (Jul 14)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 6995.0, 'priceChange': -505, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,,False,False,False,False,2022-08-01 00:00:00
16858340,16858340,,https://photos.zillowstatic.com/fp/343d260b7ed6a83c50302c53bba08047-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/5656-Caminito-Danzarin-La-Jolla-CA-92037/16858340_zpid/,"{'latitude': 32.81881, 'longitude': -117.25142}",,"{'type': 'TIME_ON_INFO', 'text': '16 days ago', 'data': {'isFresh': False}}",,,,"5656 Caminito Danzarin, La Jolla, CA 92037",5656 Caminito Danzarin,CA,La Jolla,92037,5b52b5zs8053y,,False,True,False,True,False,2022-07-31,$,"$7,050/mo",7050.0,False,3.0,2.5,2486.0,False,"{'homeInfo': {'zpid': 16858340, 'streetAddress': '5656 Caminito Danzarin', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.81881, 'longitude': -117.25142, 'price': 7050.0, 'datePriceChanged': 1659078000000, 'bathrooms': 2.5, 'bedrooms': 3.0, 'livingArea': 2486.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1805700, 'rentZestimate': 6499, 'listing_sub_type': {}, 'priceReduction': '$245 (Jul 29)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 7050.0, 'priceChange': -245, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 719430.0, 'lotAreaValue': 1.306404958677686, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,1805700.0,False,False,False,False,2022-07-15 00:00:00
32.841022--117.275635,32.841022--117.275635,,https://photos.zillowstatic.com/fp/f92d733361d39c61c9e27d2930e469c5-p_e.jpg,True,FOR_RENT,For Rent,"/b/La-Jolla-CA/32.841022,-117.275635_ll/","{'latitude': 32.841022, 'longitude': -117.275635}","[{'price': '$5,975+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': '36 days ago'}",,,True,"7560 Eads Ave, La Jolla, CA",7560 Eads Ave  ,CA,La Jolla,92037,2nykmrx9fr4vh,False,False,False,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
16856810,16856810,,https://photos.zillowstatic.com/fp/1d18c5d566a84005d44f3260a781d37c-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/6218-Calle-Veracruz-La-Jolla-CA-92037/16856810_zpid/,"{'latitude': 32.82774, 'longitude': -117.25025}",,"{'type': 'TIME_ON_INFO', 'text': '21 days ago', 'data': {'isFresh': False}}",,,,"6218 Calle Veracruz, La Jolla, CA 92037",6218 Calle Veracruz,CA,La Jolla,92037,5d2hwvd3w8hg6,,False,False,False,True,False,2022-07-31,$,"$7,500/mo",7500.0,False,3.0,2.0,2020.0,False,"{'homeInfo': {'zpid': 16856810, 'streetAddress': '6218 Calle Veracruz', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.82774, 'longitude': -117.25025, 'price': 7500.0, 'datePriceChanged': 1657782000000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2020.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 2389400, 'rentZestimate': 6099, 'listing_sub_type': {}, 'priceReduction': '$500 (Jul 14)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 7500.0, 'priceChange': -500, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 1490281.0, 'lotAreaValue': 0.4590909090909091, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,2389400.0,False,False,False,False,2022-08-01 00:00:00
16857644,16857644,,https://photos.zillowstatic.com/fp/54a2c43f3e8fe03cfa65ea8b294136b9-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/1617-Calle-Alta-La-Jolla-CA-92037/16857644_zpid/,"{'latitude': 32.817284, 'longitude': -117.24477}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"1617 Calle Alta, La Jolla, CA 92037",1617 Calle Alta,CA,La Jolla,92037,1ywpsu5zd3vvr,,False,True,False,True,False,2022-07-31,$,"$9,988/mo",9988.0,False,3.0,2.0,2063.0,False,"{'homeInfo': {'zpid': 16857644, 'streetAddress': '1617 Calle Alta', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.817284, 'longitude': -117.24477, 'price': 9988.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2063.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 2103500, 'rentZestimate': 6428, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 9988.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 192266.0, 'lotAreaValue': 0.25252525252525254, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,2103500.0,False,False,False,False,2022-08-01 00:00:00
32.863358--117.23383,32.863358--117.23383,1002414228.0,https://photos.zillowstatic.com/fp/366ac1d1b6f2593e46b1d0655cfc5a40-p_e.jpg,True,FOR_RENT,For Rent,/b/villa-la-jolla-condominiums-la-jolla-ca-5XtNdF/,"{'latitude': 32.863358, 'longitude': -117.23383}","[{'price': '$2,900+', 'beds': '1'}, {'price': '$3,700+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': '17 days ago'}",,,True,"8666 Via Mallorca, La Jolla, CA",8666 Via Mallorca Apt J,CA,La Jolla,92037,2kgzqxfwsp0pu,False,False,False,False,True,False,2022-07-31,,,,,,,,,,,,,,,,,,,
2102238325,2102238325,,https://photos.zillowstatic.com/fp/623ed95b8cfc5ad9a47e2baf723e63ca-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/7601-Eads-Ave-APT-2-La-Jolla-CA-92037/2102238325_zpid/,"{'latitude': 32.8422, 'longitude': -117.27526}",,"{'type': 'TIME_ON_INFO', 'text': '38 days ago', 'data': {'isFresh': False}}",,,,"7601 Eads Avenue, 7601 Eads Ave APT 2, La Jolla, CA 92037",7601 Eads Ave APT 2,CA,La Jolla,92037,1n8fn1ynqmkn8,,False,True,False,True,False,2022-07-31,$,"$3,395/mo",3395.0,False,2.0,2.0,,False,"{'homeInfo': {'zpid': 2102238325, 'streetAddress': '7601 Eads Ave APT 2', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.8422, 'longitude': -117.27526, 'price': 3395.0, 'datePriceChanged': 1658991600000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 4517, 'listing_sub_type': {}, 'priceReduction': '$200 (Jul 28)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3395.0, 'priceChange': -200, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 2'}}",False,False,ForRent,For Rent,,False,False,False,False,
